"Country","dim2","CostItem","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"AT000000","BARL","POTF",124.733335,120.846388,108.644966,110.974228,121.522139,124.703649,130.140394,122.497964,124.436064,112.541643,121.391882,121.70705,113.349021,123.430128,119.779252,121.980661,105.870596,120.194302,114.581499,111.219855,130.923825,119.342961,115.875962,111.73055,127.916528,95.319924
"AT000000","BARL","REPB",,,,,,,27.787552,22.864147,17.306671,19.856155,17.076137,15.921576,15.124473,14.812686,13.209749,11.759812,13.897422,12.887408,13.434724,11.005713,9.234416,8.754313,5.892035,6.930542,6.801932,5.965556
"AT000000","BARL","REPM",,,,,,,131.022338,99.707435,84.356802,97.400947,107.029846,77.48303,68.016117,64.042013,56.905878,58.185807,51.824635,50.446396,51.97506,50.750159,45.852967,46.045894,25.11395,28.001337,27.991452,24.210441
"AT000000","BARL","SEED",,,,,,,67.670622,54.358756,65.705577,62.181572,66.539038,48.522818,48.581688,48.540716,40.973827,39.507107,28.174495,27.299351,34.830524,34.369659,34.536563,32.106368,24.562379,26.582909,28.675743,23.969955
"AT000000","BULH","ELEC",,,,,,,7.208309,7.471348,8.503273,7.970857,8.06065,8.012544,8.737457,8.968373,8.521245,8.398779,7.057258,7.467653,7.518038,7.288769,7.625262,7.220637,7.725746,7.150981,7.408376,7.587036
"AT000000","BULH","INPO",,,,,,,4.781128,5.849694,7.154849,4.286869,5.766421,6.424026,11.467117,9.4175,7.942345,8.142526,6.802131,10.030275,10.375941,9.162884,10.472424,9.330803,16.662281,5.280619,5.505126,11.31756
"AT000000","BULH","IPHA",,,,,,,28.041911,30.928232,31.641097,34.297246,35.484106,34.879869,34.016901,34.915718,36.021436,34.654463,34.440521,33.576456,36.878845,35.382273,37.551729,39.113884,35.938039,36.779972,31.299265,31.901732
"AT000000","BULH","REPB",,,,,,,1.347066,2.213252,4.330222,1.793852,2.805148,2.933507,5.694678,5.025504,4.113701,3.282405,1.301952,2.470088,4.061494,3.074311,3.53456,2.915111,3.304138,2.235696,2.24148,4.134735
"AT000000","BULH","REPM",,,,,,,4.78971,4.913378,13.76024,3.064816,3.633763,5.275342,13.358803,13.529967,10.478381,5.162369,2.972189,4.025158,5.772133,3.550135,5.862215,3.492047,11.037735,6.431353,7.105527,14.168618
"AT000000","BULL","ELEC",,,,,,,5.21981,5.410286,6.157542,5.772,5.837022,5.802171,6.32714,6.494388,6.170637,6.081966,5.110417,5.407539,5.44411,5.278081,5.521698,5.228658,5.594627,5.178402,5.364686,5.494061
"AT000000","BULL","INPO",,,,,,,3.462196,4.235985,5.181098,3.104284,4.175684,4.651867,8.303795,6.81962,5.751428,5.8964,4.92567,7.263207,7.51363,6.635201,7.58342,6.756685,12.066052,3.823974,3.986471,8.195475
"AT000000","BULL","IPHA",,,,,,,20.306211,22.396306,22.912519,24.835937,25.695387,25.257765,24.63299,25.283985,26.084827,25.094989,24.939634,24.313663,26.705435,25.621679,27.192418,28.323415,26.024663,26.634316,22.664985,23.101254
"AT000000","BULL","REPB",,,,,,,0.975462,1.6027,3.135678,1.298997,2.031314,2.124258,4.123743,3.639186,2.978926,2.37695,0.942791,1.788661,2.941089,2.226228,2.559489,2.11091,2.392704,1.618985,1.623141,2.994118
"AT000000","BULL","REPM",,,,,,,3.46841,3.557964,9.964312,2.219349,2.631346,3.820064,9.67364,9.797636,7.587891,3.738323,2.15227,2.914731,4.179831,2.57079,4.245019,2.528685,7.993016,4.657281,5.145382,10.260034
"AT000000","CAFF","EGAS",,,,,,,0.041446,0.041349,0.041178,0.069505,0.069471,0.041224,0.069667,0.069754,0.130826,0.069793,0.041322,0.069925,0.070044,0.041416,0.041556,0.022124,0.022099,0.022181,0.022009,0.021952
"AT000000","CAFF","ELEC",,,,,,,4.984478,5.131755,5.4705,5.536902,5.48902,5.571194,5.804366,6.089588,5.64129,5.456031,4.833161,4.779638,4.004257,4.153219,3.428962,3.068567,3.854997,4.861036,5.537865,4.420981
"AT000000","CAFF","INPO",,,,,,,2.564245,2.708204,3.657866,2.408973,2.376172,2.762197,6.049628,5.357976,3.501291,1.872327,1.982672,2.394656,2.545466,2.612644,2.841677,2.964053,6.069964,10.475843,13.04526,12.174533
"AT000000","CAFF","IPHA",,,,,,,7.103925,7.68798,7.4473,7.894167,7.714678,7.378149,6.710221,6.792883,6.628268,6.315986,6.673507,6.32921,6.198043,6.476126,5.982194,6.007109,6.844008,8.983931,8.435456,7.478149
"AT000000","CAFF","REPB",,,,,,,1.41125,1.65127,2.424533,1.439085,1.347437,1.436301,1.526226,1.342071,1.154184,0.908638,0.877887,1.01092,1.328173,1.108433,1.085881,1.080079,1.571821,1.61125,1.583258,1.919133
"AT000000","CAFF","REPM",,,,,,,2.568847,2.274723,6.892431,1.722249,3.547033,4.230242,5.654699,4.77632,3.952808,3.134552,0.866328,1.388279,3.281979,2.735399,3.145046,2.985715,5.700108,5.951402,6.135586,7.127292
"AT000000","CAFR","EGAS",,,,,,,0.041446,0.041349,0.041178,0.069505,0.069471,0.041224,0.069667,0.069754,0.06979,0.069793,0.041322,0.069925,0.070044,0.041416,0.041556,0.022124,0.022099,0.022181,0.022009,0.021952
"AT000000","CAFR","ELEC",,,,,,,3.277485,3.457669,4.326457,3.9644,3.99126,3.960999,4.312752,4.670908,4.31184,4.21533,3.138525,3.334861,3.340945,3.151799,3.361279,3.000005,3.723958,3.351016,3.603992,3.509294
"AT000000","CAFR","INPO",,,,,,,5.295615,5.614197,7.326015,5.815095,6.175871,7.288506,7.21465,6.520819,6.40339,6.261308,6.272281,6.210533,6.468282,6.397907,6.493262,6.661487,13.790356,7.174725,8.789719,12.88883
"AT000000","CAFR","IPHA",,,,,,,10.94768,11.957539,12.148237,12.63228,12.79432,12.485062,11.794621,12.314047,12.493456,11.943342,12.087134,11.37812,12.334317,11.805306,12.379023,12.910149,13.410282,13.871787,11.791393,11.735075
"AT000000","CAFR","REPB",,,,,,,1.509281,2.183983,4.611943,2.428765,3.03774,3.359235,3.703862,3.513361,3.293422,2.514268,1.209489,1.595681,2.719333,2.115698,2.168776,2.047628,3.205433,3.027994,2.847292,3.126595
"AT000000","CAFR","REPM",,,,,,,5.30512,4.715576,14.295198,4.157392,3.891782,6.223865,10.849348,10.018552,8.227616,3.816377,2.740672,2.492292,3.77272,2.478852,3.337643,2.493057,9.086096,7.858927,9.469413,11.035598
"AT000000","CAMF","EGAS",,,,,,,0.041446,0.041349,0.041178,0.069505,0.069471,0.041224,0.069667,0.069754,0.14015,0.069793,0.041322,0.069925,0.070044,0.041416,0.041556,0.022124,0.022099,0.022181,0.022009,0.021952
"AT000000","CAMF","ELEC",,,,,,,4.98897,5.154067,5.61236,5.497065,5.435458,5.278998,5.69261,6.055558,5.505083,3.932546,5.653472,6.109266,5.741506,4.554443,4.409306,4.340679,6.563745,7.41142,5.86396,5.444526
"AT000000","CAMF","INPO",,,,,,,2.867732,3.036545,3.92928,2.680024,2.556181,2.793643,6.490074,5.441671,3.836601,1.578394,1.652072,2.103509,2.190139,2.229601,2.438543,2.487383,12.513702,15.340974,11.097907,11.463858
